air,Air
stone,Stone
stone:1,Granite
stone:2,Polished Granite
stone:3,Diorite
stone:4,Polished Diorite
stone:5,Andesite
stone:6,Polished Andesite
grass,Grass
dirt,Dirt
dirt:1,Coarse Dirt
dirt:2,Podzol
cobblestone,Cobblestone
planks,Wooden Plank (Oak)
planks:1,Wooden Plank (Spruce)
planks:2,Wooden Plank (Birch)
planks:3,Wooden Plank (Jungle)
planks:4,Wooden Plank (Acacia)
planks:5,Wooden Plank (Dark Oak)
sapling,Sapling (Oak)
sapling:1,Sapling (Spruce)
sapling:2,Sapling (Birch)
sapling:3,Sapling (Jungle)
sapling:4,Sapling (Acacia)
sapling:5,Sapling (Dark Oak)
bedrock,Bedrock
flowing_water,Water
water,Water (No Spread)
flowing_lava,Lava
lava,Lava (No Spread)
sand,Sand
sand:1,Red Sand
gravel,Gravel
gold_ore,Gold Ore
iron_ore,Iron Ore
coal_ore,Coal Ore
log,Wood (Oak)
log:1,Wood (Spruce)
log:2,Wood (Birch)
log:3,Wood (Jungle)
log:4,Wood (Oak 4)
log:5,Wood (Oak 5)
leaves,Leaves (Oak)
leaves:1,Leaves (Spruce)
leaves:2,Leaves (Birch)
leaves:3,Leaves (Jungle)
sponge,Sponge
sponge:1,Wet Sponge
glass,Glass
lapis_ore,Lapis Lazuli Ore
lapis_block,Lapis Lazuli Block
dispenser,Dispenser
sandstone,Sandstone
sandstone:1,Sandstone (Chiseled)
sandstone:2,Sandstone (Smooth)
noteblock,Note Block
bed,Bed (Block)
golden_rail,Rail (Powered)
detector_rail,Rail (Detector)
sticky_piston,Sticky Piston
web,Cobweb
tallgrass,Tall Grass (Dead Shrub)
tallgrass:1,Tall Grass
tallgrass:2,Tall Grass (Fern)
deadbush,Dead Shrub
piston,Piston
piston_head,Piston (Head)
wool,Wool
wool:1,Orange Wool
wool:2,Magenta Wool
wool:3,Light Blue Wool
wool:4,Yellow Wool
wool:5,Lime Wool
wool:6,Pink Wool
wool:7,Gray Wool
wool:8,Light Gray Wool
wool:9,Cyan Wool
wool:10,Purple Wool
wool:11,Blue Wool
wool:12,Brown Wool
wool:13,Green Wool
wool:14,Red Wool
wool:15,Black Wool
piston_extension,Piston (Moving)
yellow_flower,Dandelion
red_flower,Poppy
red_flower:1,Blue Orchid
red_flower:2,Allium
red_flower:3,Azure Bluet
red_flower:4,Red Tulip
red_flower:5,Orange Tulip
red_flower:6,White Tulip
red_flower:7,Pink Tulip
red_flower:8,Oxeye Daisy
brown_mushroom,Brown Mushroom
red_mushroom,Red Mushroom
gold_block,Block of Gold
iron_block,Block of Iron
double_stone_slab,Stone Slab (Double)
double_stone_slab:1,Sandstone Slab (Double)
double_stone_slab:2,Wooden Slab (Double)
double_stone_slab:3,Cobblestone Slab (Double)
double_stone_slab:4,Brick Slab (Double)
double_stone_slab:5,Stone Brick Slab (Double)
double_stone_slab:6,Nether Brick Slab (Double)
double_stone_slab:7,Quartz Slab (Double)
double_stone_slab:8,Smooth Stone Slab (Double)
double_stone_slab:9,Smooth Sandstone Slab (Double)
stone_slab,Stone Slab
stone_slab:1,Sandstone Slab
stone_slab:2,Wooden Slab
stone_slab:3,Cobblestone Slab
stone_slab:4,Brick Slab
stone_slab:5,Stone Brick Slab
stone_slab:6,Nether Brick Slab
stone_slab:7,Quartz Slab
brick_block,Brick
tnt,TNT
bookshelf,Bookshelf
mossy_cobblestone,Moss Stone
obsidian,Obsidian
torch,Torch
fire,Fire
mob_spawner,Mob Spawner
oak_stairs,Wooden Stairs (Oak)
chest,Chest
redstone_wire,Redstone Wire
diamond_ore,Diamond Ore
diamond_block,Block of Diamond
crafting_table,Workbench
wheat,Wheat (Crop)
farmland,Farmland
furnace,Furnace
lit_furnace,Furnace (Smelting)
standing_sign,Sign (Block)
wooden_door,Wood Door (Block)
ladder,Ladder
rail,Rail
stone_stairs,Cobblestone Stairs
wall_sign,Sign (Wall Block)
lever,Lever
stone_pressure_plate,Stone Pressure Plate
iron_door,Iron Door (Block)
wooden_pressure_plate,Wooden Pressure Plate
redstone_ore,Redstone Ore
lit_redstone_ore,Redstone Ore (Glowing)
unlit_redstone_torch,Redstone Torch (Off)
redstone_torch,Redstone Torch
stone_button,Button (Stone)
snow_layer,Snow
ice,Ice
snow,Snow Block
cactus,Cactus
clay,Clay Block
reeds,Sugar Cane (Block)
jukebox,Jukebox
fence,Fence (Oak)
pumpkin,Pumpkin
netherrack,Netherrack
soul_sand,Soul Sand
glowstone,Glowstone
portal,Portal
lit_pumpkin,Jack-O-Lantern
cake,Cake (Block)
unpowered_repeater,Redstone Repeater (Block Off)
powered_repeater,Redstone Repeater (Block On)
stained_glass,Stained Glass (White)
stained_glass:1,Stained Glass (Orange)
stained_glass:2,Stained Glass (Magenta)
stained_glass:3,Stained Glass (Light Blue)
stained_glass:4,Stained Glass (Yellow)
stained_glass:5,Stained Glass (Lime)
stained_glass:6,Stained Glass (Pink)
stained_glass:7,Stained Glass (Gray)
stained_glass:8,Stained Glass (Light Grey)
stained_glass:9,Stained Glass (Cyan)
stained_glass:10,Stained Glass (Purple)
stained_glass:11,Stained Glass (Blue)
stained_glass:12,Stained Glass (Brown)
stained_glass:13,Stained Glass (Green)
stained_glass:14,Stained Glass (Red)
stained_glass:15,Stained Glass (Black)
trapdoor,Trapdoor
monster_egg,Monster Egg (Stone)
monster_egg:1,Monster Egg (Cobblestone)
monster_egg:2,Monster Egg (Stone Brick)
monster_egg:3,Monster Egg (Mossy Stone Brick)
monster_egg:4,Monster Egg (Cracked Stone)
monster_egg:5,Monster Egg (Chiseled Stone)
stonebrick,Stone Bricks
stonebrick:1,Mossy Stone Bricks
stonebrick:2,Cracked Stone Bricks
stonebrick:3,Chiseled Stone Brick
brown_mushroom_block,Brown Mushroom (Block)
red_mushroom_block,Red Mushroom (Block)
iron_bars,Iron Bars
glass_pane,Glass Pane
melon_block,Melon (Block)
pumpkin_stem,Pumpkin Vine
melon_stem,Melon Vine
vine,Vines
fence_gate,Fence Gate (Oak)
brick_stairs,Brick Stairs
stone_brick_stairs,Stone Brick Stairs
mycelium,Mycelium
waterlily,Lily Pad
nether_brick,Nether Brick
nether_brick_fence,Nether Brick Fence
nether_brick_stairs,Nether Brick Stairs
nether_wart,Nether Wart
enchanting_table,Enchantment Table
brewing_stand,Brewing Stand (Block)
cauldron,Cauldron (Block)
end_portal,End Portal
end_portal_frame,End Portal Frame
end_stone,End Stone
dragon_egg,Dragon Egg
redstone_lamp,Redstone Lamp
lit_redstone_lamp,Redstone Lamp (On)
double_wooden_slab,Oak-Wood Slab (Double)
double_wooden_slab:1,Spruce-Wood Slab (Double)
double_wooden_slab:2,Birch-Wood Slab (Double)
double_wooden_slab:3,Jungle-Wood Slab (Double)
double_wooden_slab:4,Acacia Wood Slab (Double)
double_wooden_slab:5,Dark Oak Wood Slab (Double)
wooden_slab,Oak-Wood Slab
wooden_slab:1,Spruce-Wood Slab
wooden_slab:2,Birch-Wood Slab
wooden_slab:3,Jungle-Wood Slab
wooden_slab:4,Acacia Wood Slab
wooden_slab:5,Dark Oak Wood Slab
cocoa,Cocoa Plant
sandstone_stairs,Sandstone Stairs
emerald_ore,Emerald Ore
ender_chest,Ender Chest
tripwire_hook,Tripwire Hook
tripwire,Tripwire
emerald_block,Block of Emerald
spruce_stairs,Wooden Stairs (Spruce)
birch_stairs,Wooden Stairs (Birch)
jungle_stairs,Wooden Stairs (Jungle)
command_block,Command Block
beacon,Beacon
cobblestone_wall,Cobblestone Wall
cobblestone_wall:1,Mossy Cobblestone Wall
flower_pot,Flower Pot (Block)
carrots,Carrot (Crop)
potatoes,Potatoes (Crop)
wooden_button,Button (Wood)
skull,Head Block (Skeleton)
skull:1,Head Block (Wither)
skull:2,Head Block (Zombie)
skull:3,Head Block (Steve)
skull:4,Head Block (Creeper)
anvil,Anvil
anvil:1,Anvil (Slightly Damaged)
anvil:2,Anvil (Very Damaged)
trapped_chest,Trapped Chest
light_weighted_pressure_plate,Weighted Pressure Plate (Light)
heavy_weighted_pressure_plate,Weighted Pressure Plate (Heavy)
unpowered_comparator,Redstone Comparator (Off)
powered_comparator,Redstone Comparator (On)
daylight_detector,Daylight Sensor
redstone_block,Block of Redstone
quartz_ore,Nether Quartz Ore
hopper,Hopper
quartz_block,Quartz Block
quartz_block:1,Chiseled Quartz Block
quartz_block:2,Pillar Quartz Block
quartz_stairs,Quartz Stairs
activator_rail,Rail (Activator)
dropper,Dropper
stained_hardened_clay,Stained Clay (White)
stained_hardened_clay:1,Stained Clay (Orange)
stained_hardened_clay:2,Stained Clay (Magenta)
stained_hardened_clay:3,Stained Clay (Light Blue)
stained_hardened_clay:4,Stained Clay (Yellow)
stained_hardened_clay:5,Stained Clay (Lime)
stained_hardened_clay:6,Stained Clay (Pink)
stained_hardened_clay:7,Stained Clay (Gray)
stained_hardened_clay:8,Stained Clay (Light Gray)
stained_hardened_clay:9,Stained Clay (Cyan)
stained_hardened_clay:10,Stained Clay (Purple)
stained_hardened_clay:11,Stained Clay (Blue)
stained_hardened_clay:12,Stained Clay (Brown)
stained_hardened_clay:13,Stained Clay (Green)
stained_hardened_clay:14,Stained Clay (Red)
stained_hardened_clay:15,Stained Clay (Black)
stained_glass_pane,Stained Glass Pane (White)
stained_glass_pane:1,Stained Glass Pane (Orange)
stained_glass_pane:2,Stained Glass Pane (Magenta)
stained_glass_pane:3,Stained Glass Pane (Light Blue)
stained_glass_pane:4,Stained Glass Pane (Yellow)
stained_glass_pane:5,Stained Glass Pane (Lime)
stained_glass_pane:6,Stained Glass Pane (Pink)
stained_glass_pane:7,Stained Glass Pane (Gray)
stained_glass_pane:8,Stained Glass Pane (Light Gray)
stained_glass_pane:9,Stained Glass Pane (Cyan)
stained_glass_pane:10,Stained Glass Pane (Purple)
stained_glass_pane:11,Stained Glass Pane (Blue)
stained_glass_pane:12,Stained Glass Pane (Brown)
stained_glass_pane:13,Stained Glass Pane (Green)
stained_glass_pane:14,Stained Glass Pane (Red)
stained_glass_pane:15,Stained Glass Pane (Black)
leaves2,Leaves (Acacia)
leaves2:1,Leaves (Dark Oak)
log2,Wood (Acacia Oak)
log2:1,Wood (Dark Oak)
acacia_stairs,Wooden Stairs (Acacia)
dark_oak_stairs,Wooden Stairs (Dark Oak)
slime,Slime Block
barrier,Barrier
iron_trapdoor,Iron Trapdoor
prismarine,Prismarine
prismarine:1,Prismarine Bricks
prismarine:2,Dark Prismarine
sea_lantern,Sea Lantern
hay_block,Hay Bale
carpet,Carpet (White)
carpet:1,Carpet (Orange)
carpet:2,Carpet (Magenta)
carpet:3,Carpet (Light Blue)
carpet:4,Carpet (Yellow)
carpet:5,Carpet (Lime)
carpet:6,Carpet (Pink)
carpet:7,Carpet (Grey)
carpet:8,Carpet (Light Gray)
carpet:9,Carpet (Cyan)
carpet:10,Carpet (Purple)
carpet:11,Carpet (Blue)
carpet:12,Carpet (Brown)
carpet:13,Carpet (Green)
carpet:14,Carpet (Red)
carpet:15,Carpet (Black)
hardened_clay,Hardened Clay
coal_block,Block of Coal
packed_ice,Packed Ice
double_plant,Sunflower
double_plant:1,Lilac
double_plant:2,Double Tallgrass
double_plant:3,Large Fern
double_plant:4,Rose Bush
double_plant:5,Peony
standing_banner,Standing Banner (Block)
wall_banner,Wall Banner (Block)
daylight_detector_inverted,Inverted Daylight Sensor
red_sandstone,Red Sandstone
red_sandstone:1,Red Sandstone (Chiseled)
red_sandstone:2,Red Sandstone (Smooth)
red_sandstone_stairs,Red Sandstone Stairs
double_stone_slab2,Red Sandstone Slab (Double)
stone_slab2,Red Sandstone Slab
spruce_fence_gate,Fence Gate (Spruce)
birch_fence_gate,Fence Gate (Birch)
jungle_fence_gate,Fence Gate (Jungle)
dark_oak_fence_gate,Fence Gate (Dark Oak)
acacia_fence_gate,Fence Gate (Acacia)
spruce_fence,Fence (Spruce)
birch_fence,Fence (Birch)
jungle_fence,Fence (Jungle)
dark_oak_fence,Fence (Dark Oak)
acacia_fence,Fence (Acacia)
spruce_door,Wooden Door Block (Spruce)
birch_door,Wooden Door Block (Birch)
jungle_door,Wooden Door Block (Jungle)
acacia_door,Wooden Door Block (Acacia)
dark_oak_door,Wooden Door Block (Dark Oak)
end_rod,End rod
chorus_plant,Chorus Plant
chorus_flower,Chorus Flower
purpur_block,Purpur Block
purpur_pillar,Purpur Pillar
purpur_stairs,Purpur Stairs
purpur_double_slab,Purpur Slab (Double)
purpur_slab,Purpur Slab
end_bricks,End Stone Bricks
grass_path,Grass Path
end_gateway,End Gateway
frosted_ice,Frosted Ice
magma,Magma Block
nether_wart_block,Nether Wart (Block)
red_nether_brick,Nether Brick (Red)
bone_block,Bone Block
observer,Observer
purple_shulker_box,Shulker Box (Purple)
structure_block,Structure Block
iron_shovel,Iron Shovel
iron_pickaxe,Iron Pickaxe
iron_axe,Iron Axe
flint_and_steel,Flint and Steel
apple,Apple
bow,Bow
arrow,Arrow
coal,Coal
coal:1,Charcoal
diamond,Diamond Gem
iron_ingot,Iron Ingot
gold_ingot,Gold Ingot
iron_sword,Iron Sword
wooden_sword,Wooden Sword
wooden_shovel,Wooden Shovel
wooden_pickaxe,Wooden Pickaxe
wooden_axe,Wooden Axe
stone_sword,Stone Sword
stone_shovel,Stone Shovel
stone_pickaxe,Stone Pickaxe
stone_axe,Stone Axe
diamond_sword,Diamond Sword
diamond_shovel,Diamond Shovel
diamond_pickaxe,Diamond Pickaxe
diamond_axe,Diamond Axe
stick,Stick
bowl,Bowl
mushroom_stew,Mushroom Stew
golden_sword,Gold Sword
golden_shovel,Gold Shovel
golden_pickaxe,Gold Pickaxe
golden_axe,Gold Axe
string,String
feather,Feather
gunpowder,Gunpowder
wooden_hoe,Wooden Hoe
stone_hoe,Stone Hoe
iron_hoe,Iron Hoe
diamond_hoe,Diamond Hoe
golden_hoe,Gold Hoe
wheat_seeds,Wheat Seeds
wheat,Wheat
bread,Bread
leather_helmet,Leather Helmet
leather_chestplate,Leather Chestplate
leather_leggings,Leather Leggings
leather_boots,Leather Boots
chainmail_helmet,Chainmail Helmet
chainmail_chestplate,Chainmail Chestplate
chainmail_leggings,Chainmail Leggings
chainmail_boots,Chainmail Boots
iron_helmet,Iron Helmet
iron_chestplate,Iron Chestplate
iron_leggings,Iron Leggings
iron_boots,Iron Boots
diamond_helmet,Diamond Helmet
diamond_chestplate,Diamond Chestplate
diamond_leggings,Diamond Leggings
diamond_boots,Diamond Boots
golden_helmet,Gold Helmet
golden_chestplate,Gold Chestplate
golden_leggings,Gold Leggings
golden_boots,Gold Boots
flint,Flint
porkchop,Raw Porkchop
cooked_porkchop,Cooked Porkchop
painting,Painting
golden_apple,Golden Apple
golden_apple:1,Enchanted Golden Apple
sign,Sign
wooden_door,Wooden Door
bucket,Bucket
water_bucket,Bucket (Water)
lava_bucket,Bucket (Lava)
minecart,Minecart
saddle,Saddle
iron_door,Iron Door
redstone,Redstone Dust
snowball,Snowball
boat,Boat
leather,Leather
milk_bucket,Bucket (Milk)
brick,Clay Brick
clay_ball,Clay
reeds,Sugar Cane
paper,Paper
book,Book
slimeball,Slime Ball
chest_minecart,Minecart (Storage)
furnace_minecart,Minecart (Powered)
egg,Egg
compass,Compass
fishing_rod,Fishing Rod
clock,Watch
glowstone_dust,Glowstone Dust
fish,Raw Fish
fish:1,Raw Salmon
fish:2,Clownfish
fish:3,Pufferfish
cooked_fished,Cooked Fish
cooked_fished:1,Cooked Salmon
cooked_fished:2,Clownfish
cooked_fished:3,Pufferfish
dye,Ink Sack
dye:1,Rose Red Dye
dye:2,Cactus Green Dye
dye:3,Cocoa Bean
dye:4,Lapis Lazuli
dye:5,Purple Dye
dye:6,Cyan Dye
dye:7,Light Gray Dye
dye:8,Gray Dye
dye:9,Pink Dye
dye:10,Lime Dye
dye:11,Dandelion Yellow Dye
dye:12,Light Blue Dye
dye:13,Magenta Dye
dye:14,Orange Dye
dye:15,Bone Meal
bone,Bone
sugar,Sugar
cake,Cake
bed,Bed
repeater,Redstone Repeater
cookie,Cookie
filled_map,Map
shears,Shears
melon,Melon (Slice)
pumpkin_seeds,Pumpkin Seeds
melon_seeds,Melon Seeds
beef,Raw Beef
cooked_beef,Steak
chicken,Raw Chicken
cooked_chicken,Cooked Chicken
rotten_flesh,Rotten Flesh
ender_pearl,Ender Pearl
blaze_rod,Blaze Rod
ghast_tear,Ghast Tear
gold_nugget,Gold Nugget
nether_wart,Nether Wart Seeds
potion,Water Bottle
potion:16,Awkward Potion
potion:32,Thick Potion
potion:64,Mundane Potion
potion:8193,Regeneration Potion (0:45)
